SampleName	SampleID	occurence
12864	GB01007379S	11645
15298	GB01011148S	8042
17191	GB01017361S	2818
308	GB01012645S	193398
4416	GB01008670S	42722
6764	GB01022166S	29699
6618	GB01001686S	30482
1259	GB01000929S	98972
9746	GB01016779S	18913
17778	GB01021841S	1516
7090	GB01010345S	28169
3742	GB01013288S	47485
3994	GB01008470S	45658
16011	GB01015665S	6496
14382	GB01018951S	9616
6313	GB01008280S	31897
1175	GB01000206S	103292
3273	GB01023955S	51447
8506	GB01001645S	22681
40	GB01003488S	362329
8202	GB01015896S	23811
18085	GB01020613S	1097
2351	GB01022762S	62212
13353	GB01009605S	11010
13280	GB01024297S	11107
4129	GB01007566S	44630
9502	GB01011797S	19558
17100	GB01017331S	3090
2053	GB01003358S	69383
18708	GB01013002S	71
10586	GB01009221S	16518
2129	GB01013075S	67507
11774	GB01019398S	13426
3859	GB01011461S	46558
7289	GB01011659S	27342
6003	GB01023167S	33485
12805	GB01000656S	11736
18419	GB01022990S	615
14692	GB01004171S	9162
11778	GB01018485S	13409
2893	GB01008656S	55176
10620	GB01010090S	16435
4484	GB01001464S	42268
16768	GB01022794S	4149
14643	GB01019205S	9227
186	GB01003351S	224988
8096	GB01022201S	24191
9214	GB01020467S	20386
4657	GB01010410S	41186
17359	GB01007422S	2374
14165	GB01019158S	9920
16650	GB01001017S	4474
11751	GB01011075S	13480
16546	GB01002251S	4902
13797	GB01019771S	10451
313	GB01000852S	192545
15165	GB01019809S	8320
18769	GB01004395S	1
15224	GB01003182S	8184
12463	GB01020100S	12186
541	GB01003582S	158099
250	GB01003283S	208590
9455	GB01009522S	19686
7169	GB01009555S	27871
17377	GB01016992S	2323
15323	GB01018830S	7996
7153	GB01024148S	27941
7084	GB01023531S	28198
13292	GB01012430S	11092
7654	GB01010881S	25890
3372	GB01020489S	50599
12032	GB01018946S	12896
12868	GB01012483S	11641
14411	GB01018939S	9566
16189	GB01013893S	5988
15330	GB01000943S	7975
14996	GB01019994S	8643
4454	GB01024053S	42460
13208	GB01019591S	11220
6603	GB01011883S	30544
10702	GB01015803S	16254
7405	GB01021539S	26885
2455	GB01011697S	60547
12705	GB01013304S	11843
14109	GB01024202S	10019
16343	GB01024275S	5532
161	GB01000160S	235061
4193	GB01017477S	44099
15588	GB01000423S	7455
11840	GB01020077S	13300
59	GB01024382S	321534
14362	GB01024228S	9639
8166	GB01008328S	23916
636	GB01001551S	148077
7123	GB01010150S	28051
12208	GB01019836S	12585
5369	GB01003734S	37153
13592	GB01019123S	10705
2386	GB01015507S	61498
6483	GB01011444S	31199
16952	GB01013801S	3535
5051	GB01017829S	39094
8233	GB01011015S	23732
12669	GB01013790S	11889
13102	GB01000559S	11337
12691	GB01010285S	11855
12	GB01024195S	453155
12577	GB01019693S	12040
7477	GB01023354S	26625
